"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5","test 2","chromium","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","7","test 3","chromium","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","3","test 4","firefox","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","4","test 3","firefox","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","6","test 4","webkit","Tue Sep 16 13:15:36 EDT 2025","passed","Tue Sep 16 13:15:36 EDT 2025","","reporter.spec.js","",""
"","46","test 2","webkit","Tue Sep 16 13:15:36 EDT 2025","passed","Tue Sep 16 13:15:36 EDT 2025","","reporter.spec.js","",""
"","11","test 4","chromium","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","9","test 1","webkit","Tue Sep 16 13:15:35 EDT 2025","passed","Tue Sep 16 13:15:35 EDT 2025","","reporter.spec.js","",""
"","3","test 2","firefox","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","12","test 1","chromium","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","8","test 1","firefox","Tue Sep 16 13:15:33 EDT 2025","passed","Tue Sep 16 13:15:33 EDT 2025","","reporter.spec.js","",""
"","8","test 3","webkit","Tue Sep 16 13:15:36 EDT 2025","passed","Tue Sep 16 13:15:36 EDT 2025","","reporter.spec.js","",""
